"Techstack","Links"
"React, Node.js, MongoDB","https://www.udemy.com/course/mern-stack-front-to-back/"
"Angular,.NET, SQL Server","https://www.udemy.com/course/angular-aspnetcore-sqlserver/"
"Vue.js, Ruby on Rails, PostgreSQL","https://www.udemy.com/course/vuejs-ruby-on-rails/"
"Python, Django, MySQL","https://www.coursera.org/specializations/python-django"
"Java, Spring Boot, Oracle","https://www.pluralsight.com/courses/spring-boot-oracle-database"
"Flutter, Firebase, GraphQL","https://www.udemy.com/course/flutter-firebase-graphql/"
"WordPress, PHP, MySQL","https://www.udemy.com/course/building-wordpress-websites/"
"Magento, PHP, MySQL","https://www.udemy.com/course/magento-development/"
"React Native, Node.js, MongoDB","https://www.udemy.com/course/react-native-full-stack/"
"iOS, Swift, Core Data","https://developer.apple.com/learn/swift/"
"Android, Java, Room Persistence","https://developer.android.com/courses"
"Kotlin, Android, Firebase","https://www.udemy.com/course/kotlin-firebase-android/"
"Android TV, Kotlin, Android NDK","https://developer.android.com/training/tv/start"
"iOS, Swift, ARKit","https://developer.apple.com/augmented-reality/"
"Cross-platform, Xamarin, Azure","https://learn.microsoft.com/en-us/xamarin/"
"Backend, Kotlin, Spring Boot","https://www.coursera.org/learn/kotlin-springboot"
"Frontend, TypeScript, Angular","https://www.udemy.com/course/angular-typescript/"
"Full-stack, JavaScript, Express.js","https://www.codecademy.com/learn/full-stack-engineer-career-path"
"Machine Learning, Python, TensorFlow","https://www.coursera.org/professional-certificates/tensorflow-in-practice"
"DevOps, Jenkins, Docker","https://www.pluralsight.com/courses/devops-jenkins-docker"
"C++, Unreal Engine, Game Development","https://www.udemy.com/course/unreal-engine-cpp-developer/"
"Unity, C#, Game Design","https://learn.unity.com/"
"Data Science, R, Python","https://www.datacamp.com/tracks/data-scientist-with-r"
"Blockchain, Ethereum, Solidity","https://www.udemy.com/course/blockchain-developer/"
"Big Data, Hadoop, Spark","https://www.coursera.org/specializations/big-data"
"AI, Python, PyTorch","https://www.udemy.com/course/pytorch-for-deep-learning/"
"Cybersecurity, Kali Linux, Penetration Testing","https://www.udemy.com/course/penetration-testing-kali-linux/"
"Cloud Computing, AWS, Lambda","https://www.udemy.com/course/aws-certified-solutions-architect-associate/"
"Networking, Cisco, CCNA","https://www.cisco.com/c/en/us/training-events/training-certifications/certifications/associate/ccna.html"
"Embedded Systems, C, ARM Cortex","https://www.udemy.com/course/embedded-systems-course/"
"Robotics, ROS, Python","https://www.coursera.org/specializations/robotics"
"Web Development, HTML, CSS, JavaScript","https://www.freecodecamp.org/"
